self_time	total_time	line	self_time_per_call	method	num_calls	total_time_per_call	file
0.0290096	0.0290096	0	3.251140324334017e-07	"method 'startswith' of 'str' objects"	89229	3.251140324334017e-07	null
5.199999999999999e-06	5.199999999999999e-06	0	2.8888888888888885e-07	"method 'endswith' of 'str' objects"	18	2.8888888888888885e-07	null
8.1e-06	8.1e-06	0	1.35e-06	"method 'format' of 'str' objects"	6	1.35e-06	null
5.32e-05	7.63e-05	0	1.064e-05	"built-in method builtins.__build_class__"	5	1.526e-05	null
2.7e-06	0.0008585	0	2.7e-06	"built-in method builtins.__import__"	1	0.0008585	null
4.9e-06	1.3599999999999999e-05	0	6.125e-07	"built-in method builtins.any"	8	1.6999999999999998e-06	null
3e-07	3e-07	0	3e-07	"built-in method builtins.callable"	1	3e-07	null
1.2699999999999999e-05	1.2699999999999999e-05	0	1.3229166666666666e-07	"built-in method builtins.chr"	96	1.3229166666666666e-07	null
9.9e-06	0.0025884	0	2.475e-06	"built-in method builtins.exec"	4	0.0006471	null
1.33e-05	1.33e-05	0	5.115384615384616e-07	"built-in method builtins.getattr"	26	5.115384615384616e-07	null
2.8e-05	2.8e-05	0	3.4146341463414634e-07	"built-in method builtins.hasattr"	82	3.4146341463414634e-07	null
1.26e-05	1.26e-05	0	8.75e-08	"built-in method builtins.hex"	144	8.75e-08	null
0.30688869999999996	0.30688869999999996	0	7.761898474979917e-08	"built-in method builtins.id"	3953784	7.761898474979917e-08	null
0.5119751	0.5119804	0	9.14199458024776e-08	"built-in method builtins.isinstance"	5600256	9.14208921877857e-08	null
1.6999999999999998e-06	1.6999999999999998e-06	0	1.3076923076923076e-07	"built-in method builtins.issubclass"	13	1.3076923076923076e-07	null
0.0586938	0.0586938	0	9.058006688509005e-08	"built-in method builtins.len"	647977	9.058006688509005e-08	null
5.0999999999999995e-06	5.0999999999999995e-06	0	3.4e-07	"built-in method builtins.max"	15	3.4e-07	null
2.8e-06	2.8e-06	0	2.1538461538461537e-07	"built-in method builtins.min"	13	2.1538461538461537e-07	null
0.0261277	0.0261277	0	2.1544709413549706e-07	"built-in method builtins.repr"	121272	2.1544709413549706e-07	null
9.999999999999999e-06	9.999999999999999e-06	0	4.9999999999999996e-06	"built-in method builtins.round"	2	4.9999999999999996e-06	null
1.2e-06	1.2e-06	0	6e-07	"built-in method builtins.setattr"	2	6e-07	null
2.4e-06	2.4e-06	0	2.4e-06	"built-in method builtins.sorted"	1	2.4e-06	null
3.2999999999999997e-06	3.2999999999999997e-06	0	1.5e-07	"built-in method _imp.acquire_lock"	22	1.5e-07	null
2.8e-06	2.8e-06	0	1.2727272727272726e-07	"built-in method _imp.release_lock"	22	1.2727272727272726e-07	null
4.9e-06	4.9e-06	0	2.45e-06	"built-in method _imp.is_builtin"	2	2.45e-06	null
2.5999999999999997e-06	2.5999999999999997e-06	0	6.499999999999999e-07	"built-in method _imp.is_frozen"	4	6.499999999999999e-07	null
5.0999999999999995e-06	5.0999999999999995e-06	0	1.2749999999999999e-06	"built-in method _imp._fix_co_filename"	4	1.2749999999999999e-06	null
0.00041579999999999997	0.00041579999999999997	0	0.00010394999999999999	"built-in method marshal.loads"	4	0.00010394999999999999	null
3.8e-06	3.8e-06	0	1.2666666666666667e-06	"built-in method _json.encode_basestring"	3	1.2666666666666667e-06	null
2e-07	2e-07	0	2e-07	"method 'disable' of '_lsprof.Profiler' objects"	1	2e-07	null
9.4e-06	9.4e-06	0	1.3428571428571428e-06	"built-in method utcnow"	7	1.3428571428571428e-06	null
0.0001196	0.0001196	0	1.7085714285714286e-05	"method 'strftime' of 'datetime.date' objects"	7	1.7085714285714286e-05	null
4e-06	4e-06	0	1e-06	"built-in method time.time"	4	1e-06	null
