file	self_time_per_call	self_time	num_calls	line	total_time_per_call	total_time	method
null	3.1549295774647887e-07	2.24e-05	71	0	3.1549295774647887e-07	2.24e-05	"method 'join' of 'str' objects"
null	3.75e-07	6e-06	16	0	3.75e-07	6e-06	"method 'find' of 'str' objects"
null	1.75e-07	7e-07	4	0	1.75e-07	7e-07	"method 'partition' of 'str' objects"
null	1e-07	7e-07	7	0	1e-07	7e-07	"method 'lower' of 'str' objects"
null	1.5e-07	1.5e-06	10	0	1.5e-07	1.5e-06	"method 'lstrip' of 'str' objects"
null	1.5e-07	1.95e-05	130	0	1.5e-07	1.95e-05	"method 'rstrip' of 'str' objects"
null	2.3793103448275863e-07	6.9e-06	29	0	2.3793103448275863e-07	6.9e-06	"method 'rpartition' of 'str' objects"
null	6.4e-06	1.28e-05	2	0	6.4e-06	1.28e-05	"method 'strip' of 'str' objects"
null	3.142857142857143e-07	2.2e-06	7	0	3.142857142857143e-07	2.2e-06	"method 'startswith' of 'str' objects"
null	3.857142857142857e-07	5.4e-06	14	0	3.857142857142857e-07	5.4e-06	"method 'endswith' of 'str' objects"
null	9.2e-07	4.6e-06	5	0	9.2e-07	4.6e-06	"method 'format' of 'str' objects"
null	9.719999999999998e-06	4.8599999999999995e-05	5	0	1.396e-05	6.98e-05	"built-in method builtins.__build_class__"
null	1.5e-06	1.5e-06	1	0	0.0006207	0.0006207	"built-in method builtins.__import__"
null	7.5e-07	3e-06	4	0	1.2999999999999998e-06	5.199999999999999e-06	"built-in method builtins.any"
null	2e-07	2e-07	1	0	2e-07	2e-07	"built-in method builtins.callable"
null	1.1354166666666666e-07	1.0899999999999999e-05	96	0	1.1354166666666666e-07	1.0899999999999999e-05	"built-in method builtins.chr"
null	1.725e-06	6.9e-06	4	0	0.000523925	0.0020957	"built-in method builtins.exec"
null	7.076923076923077e-07	1.84e-05	26	0	7.076923076923077e-07	1.84e-05	"built-in method builtins.getattr"
null	4.392405063291139e-07	3.4699999999999996e-05	79	0	4.392405063291139e-07	3.4699999999999996e-05	"built-in method builtins.hasattr"
null	7.986111111111112e-08	1.15e-05	144	0	7.986111111111112e-08	1.15e-05	"built-in method builtins.hex"
null	7.270946887549373e-08	0.0176351	242542	0	7.270946887549373e-08	0.0176351	"built-in method builtins.id"
null	8.337121212121211e-08	0.0050623	60720	0	8.337121212121211e-08	0.0050623	"built-in method builtins.isinstance"
null	1.6e-07	1.6e-06	10	0	1.6e-07	1.6e-06	"built-in method builtins.issubclass"
