line	num_calls	total_time_per_call	total_time	file	method	self_time	self_time_per_call
0	5	6.29e-05	0.0003145	null	"method 'sub' of 're.Pattern' objects"	2.69e-05	5.38e-06
0	10	3.4e-07	3.3999999999999996e-06	null	"method 'group' of 're.Match' objects"	3.3999999999999996e-06	3.4e-07
0	1	8e-07	8e-07	null	"method 'total_seconds' of 'datetime.timedelta' objects"	8e-07	8e-07
0	23	4.043478260869565e-05	0.0009299999999999999	null	"built-in method nt.stat"	0.0009299999999999999	4.043478260869565e-05
0	1	4.8e-05	4.8e-05	null	"built-in method nt.listdir"	4.8e-05	4.8e-05
0	12	2.083333333333333e-07	2.4999999999999998e-06	null	"built-in method nt.fspath"	2.4999999999999998e-06	2.083333333333333e-07
0	2	0.0301798	0.0603596	null	"method 'acquire' of '_thread.lock' objects"	0.0603596	0.0301798
0	10	2.39e-06	2.3899999999999998e-05	null	"built-in method _thread.allocate_lock"	2.3899999999999998e-05	2.39e-06
0	14	2.357142857142857e-07	3.2999999999999997e-06	null	"built-in method _thread.get_ident"	3.2999999999999997e-06	2.357142857142857e-07
0	4	4.35e-05	0.000174	null	"method 'read' of '_io.FileIO' objects"	0.000174	4.35e-05
0	5	4.939999999999999e-06	2.4699999999999997e-05	null	"method 'write' of '_io.FileIO' objects"	2.4699999999999997e-05	4.939999999999999e-06
0	1	0.0001096	0.0001096	null	"method 'write' of '_io.BufferedWriter' objects"	0.0001096	0.0001096
0	1	5.2199999999999995e-05	5.2199999999999995e-05	null	"method 'read' of '_io.BufferedReader' objects"	5.2199999999999995e-05	5.2199999999999995e-05
0	11	2.0000000000000002e-07	2.2e-06	null	"method 'flush' of '_io._IOBase' objects"	2.2e-06	2.0000000000000002e-07
0	2	0.00020855	0.0004171	null	"built-in method io.open"	0.0004171	0.00020855
0	1	2.9999999999999997e-05	2.9999999999999997e-05	null	"method 'decode' of 'bytes' objects"	2.9999999999999997e-05	2.9999999999999997e-05
